direction	xi	N
160	-9.918367E+00	1.160000E+02
165	-9.918367E+00	1.160000E+02
170	-9.918367E+00	1.450000E+02
175	-9.918367E+00	1.400000E+02
0	-9.183673E+00	1.730000E+02
5	-9.183673E+00	1.610000E+02
10	-9.183673E+00	1.310000E+02
15	-9.183673E+00	1.470000E+02
20	-9.183673E+00	1.360000E+02
25	-9.183673E+00	1.450000E+02
30	-9.183673E+00	1.500000E+02
35	-9.183673E+00	1.390000E+02
40	-9.183673E+00	1.230000E+02
45	-9.183673E+00	1.300000E+02
50	-9.183673E+00	1.240000E+02
55	-9.183673E+00	1.100000E+02
60	-9.183673E+00	1.140000E+02
65	-9.183673E+00	1.130000E+02
70	-9.183673E+00	1.160000E+02
75	-9.183673E+00	9.500000E+01
80	-9.183673E+00	1.250000E+02
85	-9.183673E+00	1.220000E+02
90	-9.183673E+00	1.140000E+02
95	-9.183673E+00	1.200000E+02
100	-9.183673E+00	1.110000E+02
105	-9.183673E+00	1.220000E+02
110	-9.183673E+00	1.260000E+02
115	-9.183673E+00	1.220000E+02
120	-9.183673E+00	1.310000E+02
125	-9.183673E+00	1.450000E+02
130	-9.183673E+00	1.640000E+02
135	-9.183673E+00	1.350000E+02
140	-9.183673E+00	1.410000E+02
145	-9.183673E+00	1.390000E+02
150	-9.183673E+00	1.480000E+02
155	-9.183673E+00	1.450000E+02
160	-9.183673E+00	1.440000E+02
165	-9.183673E+00	1.550000E+02
170	-9.183673E+00	1.500000E+02
175	-9.183673E+00	1.570000E+02
0	-8.448980E+00	1.640000E+02
5	-8.448980E+00	1.720000E+02
10	-8.448980E+00	1.810000E+02
15	-8.448980E+00	1.760000E+02
20	-8.448980E+00	1.570000E+02
25	-8.448980E+00	1.410000E+02
30	-8.448980E+00	1.470000E+02
35	-8.448980E+00	1.500000E+02
40	-8.448980E+00	1.450000E+02
45	-8.448980E+00	1.370000E+02
50	-8.448980E+00	1.400000E+02
55	-8.448980E+00	1.520000E+02
60	-8.448980E+00	1.460000E+02
65	-8.448980E+00	1.540000E+02
70	-8.448980E+00	1.540000E+02
75	-8.448980E+00	1.540000E+02
80	-8.448980E+00	1.480000E+02
85	-8.448980E+00	1.510000E+02
90	-8.448980E+00	1.500000E+02
95	-8.448980E+00	1.370000E+02
100	-8.448980E+00	1.450000E+02
105	-8.448980E+00	1.510000E+02
110	-8.448980E+00	1.460000E+02
115	-8.448980E+00	1.680000E+02
120	-8.448980E+00	1.870000E+02
125	-8.448980E+00	1.650000E+02
130	-8.448980E+00	1.660000E+02
135	-8.448980E+00	1.610000E+02
140	-8.448980E+00	1.610000E+02
145	-8.448980E+00	1.530000E+02
150	-8.448980E+00	1.680000E+02
155	-8.448980E+00	1.770000E+02
160	-8.448980E+00	1.730000E+02
165	-8.448980E+00	1.680000E+02
170	-8.448980E+00	1.700000E+02
175	-8.448980E+00	1.960000E+02
0	-7.714286E+00	1.660000E+02
5	-7.714286E+00	1.820000E+02
10	-7.714286E+00	1.740000E+02
15	-7.714286E+00	1.740000E+02
20	-7.714286E+00	1.570000E+02
25	-7.714286E+00	1.580000E+02
30	-7.714286E+00	1.490000E+02
35	-7.714286E+00	1.540000E+02
40	-7.714286E+00	1.570000E+02
45	-7.714286E+00	1.530000E+02
50	-7.714286E+00	1.630000E+02
55	-7.714286E+00	1.560000E+02
60	-7.714286E+00	1.690000E+02
65	-7.714286E+00	1.720000E+02
70	-7.714286E+00	1.620000E+02
75	-7.714286E+00	1.700000E+02
80	-7.714286E+00	1.600000E+02
85	-7.714286E+00	1.350000E+02
90	-7.714286E+00	1.360000E+02
95	-7.714286E+00	1.410000E+02
100	-7.714286E+00	1.570000E+02
105	-7.714286E+00	1.620000E+02
110	-7.714286E+00	1.570000E+02
115	-7.714286E+00	1.870000E+02
120	-7.714286E+00	1.650000E+02
125	-7.714286E+00	1.560000E+02
130	-7.714286E+00	1.680000E+02
135	-7.714286E+00	1.780000E+02
140	-7.714286E+00	1.710000E+02
145	-7.714286E+00	1.560000E+02
150	-7.714286E+00	1.680000E+02
155	-7.714286E+00	1.880000E+02
160	-7.714286E+00	1.860000E+02
165	-7.714286E+00	2.010000E+02
170	-7.714286E+00	2.130000E+02
175	-7.714286E+00	1.860000E+02
0	-6.979592E+00	1.570000E+02
5	-6.979592E+00	1.650000E+02
10	-6.979592E+00	1.550000E+02
15	-6.979592E+00	1.710000E+02
20	-6.979592E+00	1.670000E+02
25	-6.979592E+00	1.770000E+02
30	-6.979592E+00	1.800000E+02
35	-6.979592E+00	1.830000E+02
40	-6.979592E+00	1.550000E+02
45	-6.979592E+00	1.690000E+02
50	-6.979592E+00	1.630000E+02
55	-6.979592E+00	1.600000E+02
60	-6.979592E+00	1.730000E+02
65	-6.979592E+00	1.870000E+02
70	-6.979592E+00	1.700000E+02
75	-6.979592E+00	1.640000E+02
80	-6.979592E+00	1.430000E+02
85	-6.979592E+00	1.500000E+02
90	-6.979592E+00	1.390000E+02
95	-6.979592E+00	1.400000E+02
100	-6.979592E+00	1.410000E+02
105	-6.979592E+00	1.560000E+02
110	-6.979592E+00	1.710000E+02
115	-6.979592E+00	1.820000E+02
120	-6.979592E+00	1.670000E+02
125	-6.979592E+00	1.680000E+02
130	-6.979592E+00	1.710000E+02
135	-6.979592E+00	1.780000E+02
140	-6.979592E+00	1.690000E+02
145	-6.979592E+00	1.760000E+02
150	-6.979592E+00	1.760000E+02
155	-6.979592E+00	1.970000E+02
160	-6.979592E+00	1.980000E+02
165	-6.979592E+00	2.160000E+02
170	-6.979592E+00	2.060000E+02
175	-6.979592E+00	2.210000E+02
0	-6.244898E+00	1.830000E+02
5	-6.244898E+00	1.670000E+02
10	-6.244898E+00	2.040000E+02
15	-6.244898E+00	1.900000E+02
20	-6.244898E+00	1.640000E+02
25	-6.244898E+00	1.940000E+02
30	-6.244898E+00	2.060000E+02
35	-6.244898E+00	2.190000E+02
40	-6.244898E+00	2.010000E+02
45	-6.244898E+00	1.830000E+02
50	-6.244898E+00	1.600000E+02
55	-6.244898E+00	1.830000E+02
60	-6.244898E+00	1.870000E+02
65	-6.244898E+00	1.800000E+02
70	-6.244898E+00	1.860000E+02
75	-6.244898E+00	1.680000E+02
80	-6.244898E+00	1.750000E+02
85	-6.244898E+00	1.870000E+02
90	-6.244898E+00	1.980000E+02
95	-6.244898E+00	1.900000E+02
100	-6.244898E+00	1.790000E+02
105	-6.244898E+00	1.840000E+02
110	-6.244898E+00	2.100000E+02
115	-6.244898E+00	1.970000E+02
120	-6.244898E+00	1.780000E+02
125	-6.244898E+00	1.840000E+02
130	-6.244898E+00	1.910000E+02
135	-6.244898E+00	2.070000E+02
140	-6.244898E+00	1.960000E+02
145	-6.244898E+00	2.020000E+02
150	-6.244898E+00	1.900000E+02
155	-6.244898E+00	2.010000E+02
160	-6.244898E+00	1.980000E+02
165	-6.244898E+00	1.820000E+02
170	-6.244898E+00	2.040000E+02
175	-6.244898E+00	2.150000E+02
0	-5.510204E+00	2.190000E+02
5	-5.510204E+00	2.200000E+02
10	-5.510204E+00	1.990000E+02
15	-5.510204E+00	1.870000E+02
20	-5.510204E+00	1.930000E+02
25	-5.510204E+00	2.000000E+02
30	-5.510204E+00	2.160000E+02
35	-5.510204E+00	2.260000E+02
40	-5.510204E+00	2.300000E+02
45	-5.510204E+00	2.170000E+02
50	-5.510204E+00	2.150000E+02
55	-5.510204E+00	2.100000E+02
60	-5.510204E+00	1.990000E+02
65	-5.510204E+00	1.850000E+02
70	-5.510204E+00	1.960000E+02
75	-5.510204E+00	2.030000E+02
80	-5.510204E+00	1.940000E+02
85	-5.510204E+00	1.860000E+02
90	-5.510204E+00	2.010000E+02
95	-5.510204E+00	2.070000E+02
100	-5.510204E+00	2.080000E+02
105	-5.510204E+00	1.980000E+02
110	-5.510204E+00	2.030000E+02
115	-5.510204E+00	1.870000E+02
120	-5.510204E+00	2.150000E+02
125	-5.510204E+00	2.160000E+02
130	-5.510204E+00	2.070000E+02
135	-5.510204E+00	2.080000E+02
140	-5.510204E+00	2.230000E+02
145	-5.510204E+00	2.110000E+02
150	-5.510204E+00	2.000000E+02
155	-5.510204E+00	1.990000E+02
160	-5.510204E+00	1.820000E+02
165	-5.510204E+00	2.120000E+02
170	-5.510204E+00	2.140000E+02
175	-5.510204E+00	2.090000E+02
0	-4.775510E+00	2.410000E+02
5	-4.775510E+00	2.150000E+02
10	-4.775510E+00	1.950000E+02
15	-4.775510E+00	1.860000E+02
20	-4.775510E+00	1.930000E+02
25	-4.775510E+00	2.180000E+02
30	-4.775510E+00	2.140000E+02
35	-4.775510E+00	2.050000E+02
40	-4.775510E+00	2.400000E+02
45	-4.775510E+00	2.530000E+02
50	-4.775510E+00	2.400000E+02
55	-4.775510E+00	2.060000E+02
60	-4.775510E+00	2.180000E+02
65	-4.775510E+00	2.250000E+02
70	-4.775510E+00	2.190000E+02
75	-4.775510E+00	2.190000E+02
80	-4.775510E+00	2.110000E+02
85	-4.775510E+00	2.070000E+02
90	-4.775510E+00	2.090000E+02
95	-4.775510E+00	2.170000E+02
100	-4.775510E+00	2.140000E+02
105	-4.775510E+00	2.180000E+02
110	-4.775510E+00	1.930000E+02
115	-4.775510E+00	2.080000E+02
120	-4.775510E+00	2.010000E+02
125	-4.775510E+00	2.170000E+02
130	-4.775510E+00	1.950000E+02
135	-4.775510E+00	2.020000E+02
140	-4.775510E+00	2.120000E+02
145	-4.775510E+00	2.390000E+02
150	-4.775510E+00	2.170000E+02
155	-4.775510E+00	2.360000E+02
160	-4.775510E+00	2.190000E+02
165	-4.775510E+00	2.140000E+02
170	-4.775510E+00	2.350000E+02
175	-4.775510E+00	2.470000E+02
0	-4.040816E+00	2.160000E+02
5	-4.040816E+00	2.360000E+02
10	-4.040816E+00	2.330000E+02
15	-4.040816E+00	1.980000E+02
20	-4.040816E+00	1.920000E+02
25	-4.040816E+00	2.240000E+02
30	-4.040816E+00	2.520000E+02
35	-4.040816E+00	2.200000E+02
40	-4.040816E+00	2.350000E+02
45	-4.040816E+00	2.380000E+02
50	-4.040816E+00	2.360000E+02
55	-4.040816E+00	2.390000E+02
60	-4.040816E+00	2.420000E+02
65	-4.040816E+00	2.390000E+02
70	-4.040816E+00	2.080000E+02
75	-4.040816E+00	2.100000E+02
80	-4.040816E+00	2.040000E+02
85	-4.040816E+00	2.200000E+02
90	-4.040816E+00	2.410000E+02
95	-4.040816E+00	2.430000E+02
100	-4.040816E+00	2.210000E+02
105	-4.040816E+00	2.330000E+02
110	-4.040816E+00	2.170000E+02
115	-4.040816E+00	2.150000E+02
120	-4.040816E+00	2.220000E+02
125	-4.040816E+00	2.290000E+02
130	-4.040816E+00	2.000000E+02
135	-4.040816E+00	2.000000E+02
140	-4.040816E+00	1.760000E+02
145	-4.040816E+00	2.100000E+02
150	-4.040816E+00	2.250000E+02
155	-4.040816E+00	2.350000E+02
160	-4.040816E+00	2.200000E+02
165	-4.040816E+00	2.280000E+02
170	-4.040816E+00	2.450000E+02
175	-4.040816E+00	2.430000E+02
0	-3.306122E+00	2.200000E+02
5	-3.306122E+00	2.350000E+02
10	-3.306122E+00	2.380000E+02
15	-3.306122E+00	2.210000E+02
20	-3.306122E+00	2.360000E+02
25	-3.306122E+00	2.290000E+02
30	-3.306122E+00	2.630000E+02
35	-3.306122E+00	2.490000E+02
40	-3.306122E+00	2.410000E+02
45	-3.306122E+00	2.450000E+02
50	-3.306122E+00	2.410000E+02
55	-3.306122E+00	2.620000E+02
60	-3.306122E+00	2.730000E+02
65	-3.306122E+00	2.510000E+02
70	-3.306122E+00	2.530000E+02
